compound,Tc,source
CoBr3,[148.],['10.1016/j.commatsci.2022.111319']
Ca1Mn1.3Fe0.7Ge2,[300.],['10.1016/S0925-8388(02)01354-3']
TaFeCoB,[ 25.  70. 135.],"['10.1016/j.jnoncrysol.2021.121080' '10.1016/j.jnoncrysol.2021.121080'
 '10.1016/j.jnoncrysol.2021.121080']"
La1Mn1.5Ni0.5Bi1O6,[ 75. 130.],['10.1016/j.jmmm.2013.07.062' '10.1016/j.jmmm.2013.07.062']
Dy2Co3,[195.],['10.1016/S0360-3199(98)00063-9']
Sr0.45Sm0.55Mn1O3,[128. 146.],['10.1016/j.jmmm.2004.11.341' '10.1016/j.jmmm.2004.11.341']
CF,[337. 597.],['10.1016/j.jmmm.2021.168233' '10.1016/j.jmmm.2021.168448']
GdScGe,[233. 349.],['10.1016/j.jallcom.2013.02.002' '10.1016/j.jallcom.2013.02.002']
YVO3,[116. 200.],['10.1016/j.jsamd.2016.06.013' '10.1016/j.jsamd.2016.06.013']
La0.88Mn1O3,[250. 265.],['10.1016/j.ssc.2007.02.040' '10.1016/j.ssc.2007.02.040']
Ti0.1Fe2.9O4,[533.15 798.15],['10.1016/S0012-821X(01)00464-2' '10.1016/S0012-821X(01)00464-2']
U2BiN2,[71.],['10.1016/0304-8853(78)90123-3']
Cr1As0.95P0.05,[253.],['10.1016/j.jallcom.2004.04.055']
Er2GeRh3,[20. 20.],['10.1016/j.jmmm.2020.166988' '10.1016/j.jmmm.2020.166988']
Zr7Fe88CuB4,[398.],['10.1016/j.scriptamat.2012.05.004']
Tb2Fe14B,[620.15],['10.1016/j.jallcom.2018.09.205']
Tb0.5Dy0.25Ho0.25Al0.25Co1.75,[182.],['10.1016/j.jmmm.2017.02.025']
DyTiFe11,[600.],['10.1016/S0304-8853(03)00245-2']
Nd5Si4,[45. 54.],['10.1016/j.jmmm.2019.165693' '10.1016/j.jmmm.2019.165693']
CoO8,[180. 438.],['10.1016/j.jmmm.2019.166000' '10.1016/j.jmmm.2019.166000']
ErCrO4,[18.],['10.1016/S0022-4596(02)00203-7']
ThMn2,[ 43. 115.],['10.1016/S0304-8853(00)00042-1' '10.1016/S0304-8853(00)00042-1']
KSrFeWO6,[238. 313. 500.],"['10.1016/j.ssc.2010.02.027' '10.1016/j.ssc.2010.02.027'
 '10.1016/j.ssc.2010.02.027']"
Sm2GaCo2,[62.],['10.1016/j.jssc.2018.01.023']
Gd6CoTe2,[220. 350.],['10.1016/j.jmmm.2019.166301' '10.1016/j.jmmm.2019.166301']
LuMn4(CuO4)3,[398.],['10.1016/j.jmmm.2010.09.033']
Er2Ti3Si4,[7.],['10.1016/j.jallcom.2015.03.050']
MnS,[ 20.  76. 116. 130.],"['10.1016/j.jmmm.2013.07.044' '10.1016/j.jssc.2011.07.017'
 '10.1016/j.materresbull.2012.12.001' '10.1016/j.materresbull.2012.12.001']"
GdAl2Ni,[ 30. 165.],['10.1016/j.jallcom.2016.04.120' '10.1016/j.jallcom.2016.04.120']
Ho2Al0.3In0.7,[40.],['10.1016/j.jmmm.2021.168305']
Ca0.1La0.9Mn1O3,[368.],['10.1016/S0304-8853(01)01010-1']
Zr3Fe1H6.25O0.2,[140.],['10.1016/j.jallcom.2004.05.064']
Mn7Sn4,[100. 220.],['10.1016/j.jmmm.2003.11.304' '10.1016/j.jmmm.2003.11.304']
Fe20Ni20B3P7,[37.],['10.1016/j.jallcom.2011.12.028']
Mn(Bi3Te5)2,[11. 11. 12. 13.],"['10.1016/j.xinn.2021.100098' '10.1016/j.xinn.2021.100098'
 'Yan2020-PRM-4-054202' 'Yan2020-PRM-4-054202']"
Ba5Co5O14,[47.],['10.1016/j.physleta.2009.09.013']
Dy1Mn1.5Cu0.5Ge2,[40. 79.],['10.1016/S0925-8388(97)00589-6' '10.1016/S0925-8388(97)00589-6']
Nd2Fe11.2B1Ru2.8,[350.],['10.1016/0304-8853(86)90696-7']
Er1Ti0.2Co1.8,[290.],['10.1016/j.jallcom.2007.10.035']
Sm1Mn0.5Fe0.5O3,[244. 286.],['10.1016/j.jallcom.2018.04.309' '10.1016/j.jallcom.2018.04.309']
LiMn2Sb,[1193.],['10.1016/j.jmmm.2020.166642']
Nd(As3Ru)4,[2.3],['10.1016/j.ssc.2016.04.026']
Cr1Br1.5Cl1.5,[22.],['10.1016/j.apsusc.2021.150995']
Cr1.11Fe1.9O4,[533.15 798.15],['10.1016/S0012-821X(01)00464-2' '10.1016/S0012-821X(01)00464-2']
Mn1.1Fe0.9As0.3P0.7,[150. 150. 150. 380. 380. 380.],"['10.1016/j.ijrefrig.2007.11.013' '10.1016/j.ijrefrig.2007.11.013'
 '10.1016/j.jallcom.2004.12.001' '10.1016/j.jallcom.2004.12.001'
 '10.1016/j.jallcom.2004.12.001' '10.1016/j.jallcom.2004.12.001']"
Gd5Bi2Pt,[125.],['10.1016/j.intermet.2012.10.013']
TiAlVRh,[2028. 2268. 2312.],"['10.1016/j.matchemphys.2021.125685' '10.1016/j.matchemphys.2021.125685'
 '10.1016/j.matchemphys.2021.125685']"
Dy(Co5Mo)2,[28. 41.],['10.1016/S0304-8853(99)00431-X' '10.1016/S0304-8853(99)00431-X']
Ba0.5Sr0.5Ti1O3,[415. 426.],['10.1016/j.jmmm.2005.12.003' '10.1016/j.jmmm.2005.12.003']
Ba0.11Sr0.22La0.67Mn0.9Fe0.1O3,[268.],['10.1016/j.jallcom.2015.07.034']
Al3Fe7,[674. 750.],['10.1016/j.jmmm.2014.07.040' '10.1016/j.jmmm.2014.07.040']
UAl7Fe5,[252. 262.],['10.1016/j.jnucmat.2009.01.033' '10.1016/j.jnucmat.2009.01.033']
La7Pr0.3Fe10.4Co0.8Si1.8,[290.],['10.1016/j.jallcom.2007.09.064']
Sm3V2.61Fe26.39,[437.],['10.1016/j.jmmm.2009.02.137']
DyAg,[56.6 60.9],['10.1016/j.jmmm.2008.02.172' '10.1016/j.jmmm.2008.02.172']
Mn1.96Ga1Fe0.67,[240. 240.],['10.1016/j.jmmm.2019.04.024' '10.1016/j.jmmm.2019.04.024']
Ho6MnBi2,[ 54.  70.  72. 200.],"['10.1016/j.jallcom.2019.153198' '10.1016/j.jssc.2017.10.023'
 '10.1016/j.jssc.2017.10.023' '10.1016/j.jssc.2017.10.023']"
Er15(B2C7)2,[50.],['10.1016/j.jssc.2010.07.046']
Mn39Pt11,[310.15 350.15],['10.1016/S0304-8853(00)00475-3' '10.1016/S0304-8853(00)00475-3']
Ca0.09La0.55Mn1O3,[296.],['10.1016/S0304-8853(01)00075-0']
AlCrFeCo,[  3. 130. 460.],"['10.1016/j.jmmm.2008.11.097' '10.1016/j.jmmm.2008.11.097'
 '10.1016/j.jmmm.2008.11.097']"
FeCo2Ge,[1000. 1073.],['10.1016/j.jmmm.2022.169148' '10.1016/j.jmmm.2022.169148']
Er1Ti0.04Co1.96,[26.],['10.1016/j.jmmm.2012.05.044']
TmAlCo4,[ 511. 1020.],['10.1016/j.jallcom.2014.11.113' '10.1016/j.jallcom.2014.11.113']
MoI3,[ 24. 286. 292.],"['10.1016/j.jmmm.2022.169163' '10.1016/j.jmmm.2022.169163'
 '10.1016/j.jmmm.2022.169163']"
La6Al3Fe11,[217. 230.],['10.1016/S0921-4526(99)00093-9' '10.1016/j.jssc.2009.08.011']
K2ReBr6,[15.3],['10.1016/j.jmmm.2003.08.005']
Nd0.5Dy0.5Ti1Fe11,[673.86],['10.1016/j.jallcom.2006.08.022']
Gd95Al2.2Fe2.8,[276. 308.],['10.1016/j.scriptamat.2016.11.041' '10.1016/j.scriptamat.2016.11.041']
GdAlRh,[30.],['10.1016/S0038-1098(00)00034-X']
Zr6.8Fe85.4Cu1B6.8,[354.],['10.1016/S0304-8853(01)00954-4']
Nd12Fe77.9Co4.1B6,[ 58.  63. 115. 122.],"['10.1016/j.jmmm.2005.03.037' '10.1016/j.jmmm.2005.03.037'
 '10.1016/j.jmmm.2005.03.037' '10.1016/j.jmmm.2005.03.037']"
TbDyFe,[653.15],['10.1016/S0304-8853(98)00087-0']
Ca(MnGe)2,[670. 670.],['10.1016/S0304-8853(98)00147-4' '10.1016/S0304-8853(98)00147-4']
H4C,[375. 430.],['10.1016/j.cej.2020.126081' '10.1016/j.cej.2020.126081']
Fe4.25Co69.25Si13B13.5,[300.],['10.1016/j.intermet.2019.106479']
Hf0.875Ta0.125Fe2,[201.],['10.1016/j.jallcom.2014.11.234']
YCrO4,[ 9. 21.],['10.1016/j.jallcom.2016.12.378' '10.1016/j.jallcom.2016.12.378']
MnGaSe3,[910. 910.],['10.1016/j.jmmm.2021.168041' '10.1016/j.jmmm.2021.168041']
LaRuO3,[ 90. 802.],['10.1016/j.commatsci.2021.110839' '10.1016/j.commatsci.2021.110839']
Sm0.99Gd0.01Al2,[124.],['10.1016/j.jallcom.2006.05.071']
Gd4Co3,[110. 160. 163. 195. 208. 210. 213. 220. 220.],"['10.1016/j.jmmm.2019.166301' '10.1016/j.jmmm.2019.166301'
 '10.1016/j.jmmm.2022.169505' '10.1016/j.jmmm.2022.169505'
 '10.1016/j.jmmm.2022.169505' '10.1016/j.jmmm.2022.169505'
 '10.1016/j.jmmm.2022.169505' '10.1016/j.jmmm.2022.169505'
 '10.1016/j.jmmm.2022.169505']"
Mn3Cu,[140. 150.],['10.1016/j.jallcom.2019.04.160' '10.1016/j.jallcom.2019.04.160']
SmRu,[16.5],['10.1016/j.jmmm.2006.10.1028']
Sm3Fe22,[473.15 743.15],['10.1016/S0925-8388(99)00660-X' '10.1016/S0925-8388(99)00660-X']
Mn3(SiSe3)2,[67. 78.],['10.1016/j.jmmm.2020.166936' '10.1016/j.jmmm.2020.166936']
Mn1.05Fe0.9Si0.5Cu0.1P0.5,[12. 51.],['10.1016/j.jmmm.2020.167380' '10.1016/j.jmmm.2020.167380']
Ca1.4La1.6Mn2O7,[173.5 238. ],['10.1016/S0304-8853(00)01400-1' '10.1016/S0304-8853(00)01400-1']
NaY,[159.],['10.1016/j.ssnmr.2018.05.001']
TmFe7Si,[230. 279.],['10.1016/j.jmmm.2009.06.082' '10.1016/j.jmmm.2009.06.082']
MnAlGe,[458.15 518.   518.15],"['10.1016/0022-4596(73)90140-0' '10.1016/0022-4596(73)90140-0'
 'Khan2017-PRM-1-034402']"
U3Sn0.5Te5,[140.],['10.1006/jssc.2002.9713']
Mn0.75Ga1Cu0.25Ni2,[308. 340.],['10.1016/j.jallcom.2012.04.077' '10.1016/j.jallcom.2012.04.077']
La0.8Dy0.2Ni2,[6.2],['10.1016/j.jallcom.2015.07.014']
Cr0.2Fe1Co1Si0.2Ni1,[656.],['10.1016/j.jmmm.2020.167432']
LaAlRh,[30.],['10.1016/S0038-1098(00)00034-X']
DyGaPd,[20.],['10.1016/S0925-8388(00)00742-8']
In0.8Fe0.2Sb1,[170. 170.],['10.1016/j.jmmm.2019.165321' '10.1016/j.jmmm.2019.165321']
HoAu,[10.],['10.1016/0022-5088(66)90088-9']
La1Fe11.7Si1.3,[195.],['10.1016/j.jmmm.2008.08.081']
YAl2,[265. 269.],['10.1016/j.jallcom.2006.01.001' '10.1016/j.jallcom.2006.01.001']
Gd6AlFe3,[142. 262.],['10.1016/j.jmmm.2010.02.029' '10.1016/j.jmmm.2010.02.029']
Pr5Si2.5Ge0.5,[56.],['10.1016/j.jallcom.2019.02.172']
Fe2Ge2Pb2O9,[46.],['10.1016/j.ceramint.2020.08.032']
CoNiB,[ 5.1 46. ],['10.1016/j.jmmm.2015.08.048' '10.1016/j.jmmm.2015.08.048']
UAl5Fe7,[363.],['10.1016/j.jnucmat.2009.01.033']
Mn5O8,[ 79. 115. 131.],"['10.1016/j.mseb.2010.01.049' '10.1016/j.mseb.2010.01.049'
 '10.1016/j.mseb.2010.01.049']"
Ca0.3La0.65Mn1Pb0.05O3,[204. 286.],['10.1016/j.jallcom.2014.10.182' '10.1016/j.jallcom.2014.10.182']
Mn3Al0.5Ge0.5C1,[250. 283.],['10.1016/j.jallcom.2009.09.075' '10.1016/j.jallcom.2009.09.075']
YBOF,[225.],['10.1016/j.jallcom.2016.02.081']
U(CuP)2,[131.],['10.1016/0022-5088(86)90530-8']
V2O5,[ 485. 2073.],['10.1016/S0022-3697(00)00234-1' '10.1016/S0022-3697(00)00234-1']
Mn6Ga6Ni13,[339.15 376.15],['10.1016/S0304-8853(02)00346-3' '10.1016/S0304-8853(02)00346-3']
Gd3Ti3Fe26,[592.],['10.1016/j.jmmm.2003.11.147']
Tb1Mn5.52Fe0.48Sn6,[442.35],['10.1016/j.jmmm.2006.01.146']
La1Cr0.5Cu0.5O3,[110. 220.],['10.1016/j.jmmm.2020.167621' '10.1016/j.materresbull.2012.04.068']
NaFeOsPbO6,[258. 338. 480.],"['10.1016/j.jmmm.2019.165553' '10.1016/j.jmmm.2019.165553'
 '10.1016/j.jmmm.2019.165553']"
CoGe,[120. 275. 319.],"['10.1016/0022-4596(88)90051-5' 'DiTusa2014-PRB-90-144404'
 'DiTusa2014-PRB-90-144404']"
Sm3Cr6.5Fe4.5Co18,[566. 607.],['10.1016/j.jmmm.2021.168013' '10.1016/j.jmmm.2021.168013']
Y3Ti1.5Fe27.5,[386.],['10.1016/S0038-1098(99)00303-8']
Cu(HO)2,[70.],['10.1016/j.jmmm.2020.167263']
DySi3Ni,[4.],['10.1016/j.intermet.2019.01.016']
Cr1.94Fe1.03Sn0.03S4,[168. 174.],['10.1016/j.matchemphys.2008.07.093' '10.1016/j.matchemphys.2008.07.093']
Zr10Fe63Ni7B20,[154.  425.  579.1],"['10.1016/S0921-5093(00)01613-0' '10.1016/S0921-5093(00)01613-0'
 '10.1016/S0921-5093(00)01613-0']"
VN,[8.1],['10.1016/0022-3697(75)90124-9']
LiFeAs,[18. 18. 18. 38.],"['10.1016/j.commatsci.2020.109676' '10.1016/j.commatsci.2020.109676'
 'Dai2016-PRB-93-054508' 'Platt2013-AP-62-453']"
EuCdAg,[22. 22. 22.],"['10.1016/j.intermet.2020.106765' '10.1016/j.intermet.2020.106765'
 '10.1016/j.intermet.2020.106765']"
Nd4PdO7,[1540.],['10.1006/jssc.1999.8387']
Mn29.6Ga21.4Ni49,[350.],['10.1016/j.jmmm.2007.03.033']
Ce2InPd2,[18.],['10.1016/j.jmmm.2015.12.005']
Dy(Al2Fe)4,[43.],['10.1016/S0925-8388(98)00643-4']
Cr2CuO4,[320. 854.],['10.1016/j.jallcom.2019.03.189' '10.1016/j.jallcom.2019.03.189']
Co66.7Ge33.3,[425. 450.],['10.1016/j.jmmm.2019.166005' '10.1016/j.jmmm.2019.166005']
ErGeRu,[ 8.  8.  8. 72. 72.],"['10.1016/S0925-8388(97)00523-9' '10.1016/S0925-8388(97)00523-9'
 '10.1016/S0925-8388(97)00523-9' '10.1016/S0925-8388(99)00052-3'
 '10.1016/S0925-8388(99)00052-3']"
La3Co,[155.],['10.1016/S0921-4526(02)01294-2']
Fe84.7Si2Cu0.5B8.5P4C0.3,[813.65],['10.1016/j.enconman.2018.06.040']
MnB2,[143. 143. 157.],"['10.1016/S0038-1098(99)00521-9' '10.1016/S0038-1098(99)00521-9'
 '10.1016/j.jmmm.2009.08.011']"
Mn0.03Co0.12Ge0.85,[209. 296.],['10.1016/j.jmmm.2004.09.020' '10.1016/j.physb.2008.07.030']
MnGe,[119. 120. 165. 170. 270. 319.],"['10.1016/0022-4596(88)90051-5' 'DiTusa2014-PRB-90-144404'
 'DiTusa2014-PRB-90-144404' 'DiTusa2014-PRB-90-144404'
 'DiTusa2014-PRB-90-144404' 'DiTusa2014-PRB-90-144404']"
Fe2CuGeSe4,[ 20. 160.],['10.1016/j.cocom.2020.e00459' '10.1016/j.cocom.2020.e00459']
ThMnAl,[ 43. 115.],['10.1016/S0304-8853(00)00042-1' '10.1016/S0304-8853(00)00042-1']
KBaMnO4,[4.],['10.1016/j.solidstatesciences.2014.08.013']
Hf7ZrAl3Fe89,[600. 600. 600. 610.],"['10.1016/j.jallcom.2017.03.315' '10.1016/j.jallcom.2017.03.315'
 '10.1016/j.jallcom.2017.03.315' '10.1016/j.jallcom.2017.03.315']"
CrSbSe,[145.],['10.1016/j.cocom.2020.e00467']
Ce1Mn0.5Fe2,[167. 167.],['10.1016/j.jallcom.2020.156982' '10.1016/j.jallcom.2020.156982']
SF5,[176.2],['10.1016/j.jallcom.2020.156756']
MgCr2O4,[8.],['10.1016/j.jmmm.2020.166595']
Dy12Co7,[140.],['10.1016/j.physb.2019.06.044']
Gd3Ni2,[99.],['10.1016/j.jnoncrysol.2020.120147']
Tb1Mn0.4Co2,[347.],['10.1016/j.jmmm.2020.167628']
MnF3,[150.],['10.1016/j.jmmm.2019.165384']
Gd5Fe0.1Si2Ge1.9,[276. 308.],['10.1016/j.scriptamat.2016.11.041' '10.1016/j.scriptamat.2016.11.041']
Mn0.05Fe1.95O3,[220. 260.],['10.1016/j.physb.2019.411663' '10.1016/j.physb.2019.411663']
Ce0.7U0.3Pd3,[120.],['10.1016/S0921-4526(01)01168-1']
U2In8Rh,[150. 165.],['10.1016/j.jmmm.2015.01.015' '10.1016/j.jmmm.2015.01.015']
Sr0.34Ca0.16La0.35Pr0.15Mn1O3,[236.],['10.1016/j.jmmm.2010.09.026']
Zn0.95Cr0.05Te1,[400.],['10.1016/S0022-3697(03)00126-4']
Ca14MnBi11,[15. 33. 55.],"['10.1016/j.jssc.2018.12.037' '10.1016/j.jssc.2018.12.037'
 '10.1016/j.jssc.2018.12.037']"
Mn0.18Fe0.82,[300.],['10.1016/j.solidstatesciences.2020.106351']
Ho2Mn2O7,[38.],['10.1016/j.jmmm.2019.165494']
Co0.04Pd0.96,[120. 350.],['10.1016/j.jmmm.2019.03.121' '10.1016/j.jmmm.2019.03.121']
Mn1.4In0.6Ni2,[304. 314.],['10.1016/j.jmmm.2020.166818' '10.1016/j.jmmm.2020.166818']
Tb1Fe0.8W1.2,[ 560. 1003.],['10.1016/0925-8388(91)90079-B' '10.1016/0925-8388(91)90079-B']
La0.3Pr0.7Fe11.18Si1.82,[195.],['10.1016/j.jmmm.2006.10.960']
Fe38.4Co40.2B7.5O13.9,[756.15 903.15],['10.1016/j.jnoncrysol.2006.12.114' '10.1016/j.jnoncrysol.2006.12.114']
GdIn5Ir,[40. 42.],['10.1016/j.jmmm.2014.09.024' '10.1016/j.jmmm.2014.09.024']
Nd13(Fe27B2)3,[688.],['10.1016/S0304-8853(02)01477-4']
VB,[174.],['10.1016/j.jmmm.2006.10.349']
Y(Co5Si)2,[550. 750.],['10.1016/0925-8388(95)01889-1' '10.1016/0925-8388(95)01889-1']
Zr0.2Fe1.6Co1.2O4,[745.15],['10.1016/j.jallcom.2017.01.061']
LaAlO3,[1113.8 1419.8],['10.1016/j.jmmm.2016.08.046' '10.1016/j.jmmm.2016.08.046']
Gd47Fe2Co50Ni,[302.],['10.1016/j.jnoncrysol.2020.120146']
VCr,[391.15 898.15],['10.1016/j.triboint.2009.10.014' '10.1016/j.triboint.2009.10.014']
NdCo2,[ 30. 100. 263. 263.],"['10.1016/j.jallcom.2009.03.106' '10.1016/j.jmmm.2018.03.059'
 '10.1016/j.jmmm.2018.03.059' '10.1016/j.jmmm.2018.03.059']"
PS56,[282.],['10.1016/j.jmmm.2018.02.026']
NdMn6(Sn2Ge)2,[414.],['10.1016/j.jallcom.2005.02.036']
Hf0.865Ta0.135Fe1.98,[246.],['10.1016/j.jmmm.2020.167236']
Y2Co17,[1195. 1195.],['10.1016/j.jallcom.2005.11.044' '10.1016/j.jmmm.2005.10.188']
EuCrO3,[180.   953.15],['10.1016/j.physc.2018.05.019' '10.1016/j.tecto.2005.12.016']
BaF,[735.],['10.1016/j.ceramint.2020.03.232']
Sc1Mn6Sn5.04,[357.],['10.1016/S0925-8388(02)00331-6']
Fe2SiNi,[ 960. 1095. 1095.],"['10.1016/j.physb.2013.04.005' '10.1016/j.physb.2013.04.005'
 'Zhang2013-PB-420-86']"
UGeRu,[239. 255.],['10.1016/j.jssc.2015.01.027' '10.1016/j.jssc.2015.01.027']
Eu(CuGe)2,[ 17.5 226. ],['10.1016/S0921-4526(99)02503-X' '10.1016/S0921-4526(99)02503-X']
CeCo3H4,[50.],['10.1016/0022-5088(80)90145-9']
Sr0.35La0.65Mn0.8Ni0.2O3,[211.],['10.1016/S0304-8853(01)01377-4']
Mn0.8Ni22Ge1,[151.],['10.1016/j.jallcom.2014.08.149']
Th(CoSi)2,[320.],['10.1016/j.jmmm.2008.05.024']
Mn1.99Ga1Fe0.49,[240.],['10.1016/j.jmmm.2019.04.024']
CsCl,[ 64. 258.],['10.1016/j.intermet.2015.01.005' '10.1016/j.intermet.2015.01.005']
CrGaTe3,[49.],['10.1016/j.jmmm.2021.168041']
Ce(Al2Fe)4,[225.],['10.1016/S0304-8853(01)00061-0']
TbInPd,[38. 38. 60. 74. 74.],"['10.1016/S0304-8853(01)00950-7' '10.1016/j.jallcom.2014.08.079'
 '10.1016/j.jallcom.2014.08.079' 'Gupta2015-JAC-618-562'
 'Gupta2015-JAC-618-562']"
Ca2NO2,[239.],['10.1016/j.jmmm.2019.165727']
Fe78Si13B9,[568. 664. 664.],"['10.1016/j.jallcom.2006.07.044' '10.1016/j.jallcom.2006.07.044'
 '10.1016/j.jallcom.2006.07.044']"
UInRh,[22.],['10.1016/0304-8853(90)90651-6']
MnVCrFe,[221. 395.],['10.1016/j.intermet.2018.01.016' '10.1016/j.intermet.2018.01.016']
CaGe,[330.],['10.1016/j.jmmm.2014.11.053']
LuNiO3,[559. 600.],['10.1016/j.commatsci.2018.01.036' '10.1016/j.ssc.2021.114420']
GdMn5(Ga2Ni5)2,[370.],['10.1016/j.jmmm.2019.01.031']
Ti3Fe5(BiO3)9,[195. 300. 350. 360.],"['10.1016/j.jmmm.2009.08.022' '10.1016/j.jmmm.2013.04.046'
 '10.1016/j.materresbull.2003.09.028' '10.1016/j.materresbull.2003.09.028']"
Tb14(AlNi)3,[43.],['10.1016/j.jmmm.2018.12.082']
MnTeMoO6,[20.  24.4],"['10.1016/j.solidstatesciences.2009.10.005'
 '10.1016/j.solidstatesciences.2009.10.005']"
BaYbFeCuO5,[138. 188.],['10.1016/j.physb.2019.05.051' '10.1016/j.physb.2019.05.051']
Tb2Ge6Pd,[48.],['10.1016/j.jmmm.2020.167152']
Ba0.4La0.6Fe1O3,[800. 834.],['10.1016/j.jre.2021.05.009' '10.1016/j.jre.2021.05.009']
Lu1Mn6Ga0.4Sn5.6,[282.],['10.1016/S0925-8388(01)01801-1']
Mn0.39Fe0.61,[330.],['10.1016/j.solidstatesciences.2020.106351']
Lu(MnGe)6,[527.],['10.1016/j.jallcom.2005.04.112']
TbCu7,[ 453.15  735.    735.    763.   1118.15],"['10.1016/S0304-8853(96)00732-9' '10.1016/j.actamat.2018.05.008'
 '10.1016/j.actamat.2018.05.008' '10.1016/j.jallcom.2020.154428'
 '10.1016/j.mseb.2008.06.003']"
Ba0.33Nd0.67Mn0.98Fe0.02O3,[134. 164.],['10.1016/j.jallcom.2015.10.134' '10.1016/j.jallcom.2015.10.134']
Mo3Rh2N,[370.],['10.1016/j.jallcom.2018.03.151']
Dy(CrFe5)2,[190.],['10.1016/0304-8853(90)90463-Z']
Ba1Cr3.4Fe8.6O19,[465.],['10.1016/j.solidstatesciences.2015.10.005']
Mn2NiSb,[530. 647.],['10.1016/j.jallcom.2022.164515' '10.1016/j.jmmm.2009.08.002']
Gd0.1Y0.9Fe2H4.4,[144.],['10.1016/j.jallcom.2022.164390']
CoO5,[438.],['10.1016/j.jmmm.2019.166000']
MoO3,[342.],['10.1016/j.jmmm.2012.01.029']
LaCu5,[165.],['10.1016/S0925-8388(98)00148-0']
EuZnPt,[22. 22. 22.],"['10.1016/j.intermet.2020.106765' '10.1016/j.intermet.2020.106765'
 '10.1016/j.intermet.2020.106765']"
EuSiPt,[5. 9.],['10.1016/0304-8853(90)90751-B' '10.1016/0304-8853(90)90751-B']
HoCrO3,[130. 134. 140. 148. 148.],"['10.1016/j.jmmm.2016.12.021' '10.1016/j.jmmm.2016.12.021'
 '10.1016/j.jmmm.2016.12.021' '10.1016/j.jmmm.2016.12.021'
 '10.1016/j.jmmm.2016.12.021']"
Mn2V0.5Ga1Co0.5,[127. 226. 420.],"['10.1016/j.jmmm.2019.165298' '10.1016/j.jmmm.2019.165298'
 '10.1016/j.jmmm.2019.165298']"
La1Fe11.7Si1.3N1.3,[195. 230.],['10.1016/j.jmmm.2008.08.081' '10.1016/j.jmmm.2008.08.081']
Sr2Nb0.1Fe1Re0.9O6,[420.],['10.1016/j.jssc.2004.04.038']
Sr1.5La0.5Ti0.5Fe0.5O4,[543.],['10.1016/j.jpcs.2021.109994']
U1Co0.7Ge1Rh0.3,[37.5],['10.1016/j.physb.2017.10.050']
Gd3Co0.2Ru0.8,[  3. 130. 460.],"['10.1016/j.jmmm.2008.11.097' '10.1016/j.jmmm.2008.11.097'
 '10.1016/j.jmmm.2008.11.097']"
VSe2,[ 26. 300.],['10.1016/S0925-8388(03)00129-4' '10.1016/S0925-8388(03)00129-4']
HoInPt,[25.],['10.1016/j.jmmm.2006.01.001']
Li4Ti5O12,[570. 700.],['10.1016/j.ssnmr.2011.11.007' '10.1016/j.ssnmr.2011.11.007']
Ca0.3Pr0.7Mn0.9Co0.1O3,[116.],['10.1016/j.ceramint.2015.02.103']
Ti2FeGe,[354. 475.],['10.1016/j.jmmm.2013.04.012' '10.1016/j.jmmm.2013.04.012']
Sr0.35La0.65Mn0.9Ni0.1O3,[278. 310.],['10.1016/S0304-8853(01)01377-4' '10.1016/S0304-8853(01)01377-4']
Mn37Ga13Ni50,[700.],['10.1016/j.jmmm.2018.01.054']
Ca2Cr2O5,[220. 725.],['10.1016/j.jssc.2018.06.013' '10.1016/j.jssc.2018.06.013']
Lu(FeO2)2,[250.],['10.1016/j.jmmm.2006.10.330']
Mg0.4Zn0.6Fe2O4,[200. 323.],['10.1016/j.ceramint.2020.11.138' '10.1016/j.ceramint.2020.11.138']
FeCu,[450. 590.],['10.1016/j.jallcom.2005.12.060' '10.1016/j.jallcom.2005.12.060']
Pr5Si3Ge,[47.],['10.1016/S0304-8853(02)01548-2']
HoTiCo11,[983.],['10.1016/j.jmmm.2006.11.216']
Tm1Mn6Ga0.4Ge5.6,[ 47. 111. 356.],"['10.1016/S0925-8388(00)01197-X' '10.1016/S0925-8388(00)01197-X'
 '10.1016/S0925-8388(00)01197-X']"
GdVO4,[2.49],['10.1016/j.jssc.2012.04.044']
FeW,[ 850. 1043.],['10.1016/S0304-8853(00)00394-2' '10.1016/S0304-8853(00)00394-2']
Cr7Fe3,[260.],['10.1016/j.jmmm.2010.10.039']
Fe16Pt9,[47. 53.],['10.1016/S0304-8853(03)00465-7' '10.1016/S0304-8853(03)00465-7']
La0.8Gd0.2Cr0.5Co0.5O3,[124. 130.],['10.1016/j.jmmm.2020.167621' '10.1016/j.jmmm.2020.167621']
TmGa2Co3,[111.],['10.1016/0304-8853(91)90139-2']
V0.5Zn0.5Te1,[411.98],['10.1016/j.jmmm.2014.10.070']
TiSi7,[609.],['10.1016/j.physe.2021.114644']
Dy3Co2.2Si1.8,[ 35.  42. 190.],"['10.1016/j.jmmm.2015.04.060' '10.1016/j.jmmm.2015.04.060'
 '10.1016/j.jssc.2012.04.023']"
Mn28.8Ga21.2Ni50,[ 1. 29.],['10.1016/j.matlet.2018.07.140' '10.1016/j.matlet.2018.07.140']
Co3C,[376. 563. 710. 710.],"['10.1016/j.jallcom.2016.03.095' '10.1016/j.jallcom.2016.03.095'
 '10.1016/j.jallcom.2016.03.095' '10.1016/j.jallcom.2016.03.095']"
Mn0.05Si0.45Ge0.55,[116. 160.],['10.1016/j.ssc.2006.07.040' '10.1016/j.ssc.2006.07.040']
